Lead Number,Lead Origin,Lead Source,Notes,Lead Stage,Engagement Score,TotalVisits,Page Views Per Visit,Average Time Per Visit,Last Activity,Last Activity Date,Lead Conversion Date,Cityold,Specialization,Entrance Test,What is your current occupation
660737,API,Olark Chat,,Not Interested,0,0,0,0,Page Visited on Website,31-07-2016 17:16,,,Select Specialization,MAT,Unemployed
660728,API,Organic Search,,Unreachable,0,5,2.5,83.75,Email Opened,8/8/16 13:11,31-07-2016 17:02,Mumbai,Select Specialization,MAT,Unemployed
660727,Landing Page Submission,Direct Traffic,,Qualified,80,2,2,4,Email Opened,6/8/16 12:59,31-07-2016 16:57,Mumbai,Business Administration,MAT,Student
660719,Landing Page Submission,Direct Traffic,I want to know about the full time mba program @ SomeSchool.admission process#fees#placements#,Unreachable,0,1,1,0,Unreachable,3/8/16 11:34,31-07-2016 16:38,Mumbai,Media and Advertising,MAT,Unemployed
660681,Landing Page Submission,Google,I want to know the all courses and fees,Qualified,10,2,1,0,Converted to Lead,1/8/16 4:58,1/8/16 4:58,Mumbai,Select Specialization,MAT,Unemployed
660680,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,31-07-2016 3:50,,,,,
660673,Landing Page Submission,Google,I would like to know about the fees and if it can be paid in installments ..Thankyou,Qualified,10,2,2,6,Email Opened,1/8/16 7:50,31-07-2016 15:40,Pune,Supply Chain Management,MAT,Unemployed
660664,API,Olark Chat,,Unreachable,0,0,0,0,Olark Chat Conversation,31-07-2016 3:27,,,,,
660624,Landing Page Submission,Direct Traffic,,Unreachable,0,2,2,3,Email Opened,1/8/16 16:42,31-07-2016 14:49,Delhi,IT Projects Management,,
660616,API,Google,I would like to know detailed information regarding hybrid Learning opportunities,Unreachable,0,4,4,274.5,Email Opened,8/8/16 7:08,31-07-2016 14:47,Mumbai,Finance Management,,
660608,Landing Page Submission,Organic Search,,Qualified,80,8,8,193.86,Email Opened,3/8/16 11:35,31-07-2016 14:41,Kolkata,Travel and Tourism,MAT,Unemployed
